Feature,Importance
bill_limit_ratio,0.13283430541726923
avg_pay,0.130623930641501
avg_bill,0.1301336946508136
pay_bill_ratio,0.12581251454332548
AGE,0.11030555326124421
PAY_0,0.1098913908356782
LIMIT_BAL,0.09064244807068737
PAY_2,0.04985406107435245
PAY_3,0.03579749793290078
PAY_4,0.03134238703159283
PAY_5,0.027101042082803718
PAY_6,0.025661174457831275
