,precision,recall,f1-score,support
No Default,0.8349496101920517,0.9396533276267922,0.8842126459927507,4673.0
Default,0.6194331983805668,0.3458929917106255,0.44390715667311414,1327.0
accuracy,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.8083333333333333
macro avg,0.7271914042863092,0.6427731596687088,0.6640599013329325,6000.0
weighted avg,0.787284563779745,0.8083333333333333,0.786831748604891,6000.0
