,precision,recall,f1-score,support
No Default,0.8618712535835288,0.7076824309865183,0.7772032902467685,4673.0
Default,0.3684697179842811,0.60060286360211,0.45673352435530085,1327.0
accuracy,0.684,0.684,0.684,0.684
macro avg,0.6151704857839049,0.6541426472943142,0.6169684073010346,6000.0
weighted avg,0.7527472806268285,0.684,0.7063260603571055,6000.0
